student_id,age,gender,school_type,parent_education,internet_access,tutoring,study_hours_per_day,attendance_percent,sleep_hours,assignments_completed_out_of_10,previous_term_score,exam_score,pass_fail,grade_band
S00001,21.0,Female,Public,Secondary,Yes,Yes,3.8,40.0,7.6,1,46.0,65,True,B
S00002,17.0,Male,Public,Secondary,Yes,Yes,3.0,37.8,7.6,7,39.0,53,True,C
S00003,23.0,Male,Private,Diploma,Yes,Yes,4.3,64.7,7.0,2,77.0,71,True,A
S00004,25.0,Female,Public,Diploma,Yes,No,2.5,82.3,5.7,6,44.0,71,True,A
S00005,18.0,Male,Private,Diploma,No,Yes,5.8,41.7,6.1,0,67.0,63,True,B
S00006,20.0,Female,Private,MSc/PhD,Yes,No,3.8,38.2,4.0,8,67.0,61,True,B
S00007,19.0,Male,Public,Diploma,Yes,No,5.8,84.8,6.0,8,75.0,89,True,A+
S00008,24.0,Male,Public,Primary,Yes,No,5.5,63.1,8.7,1,76.0,79,True,A
S00009,19.0,Female,Private,Primary,Yes,Yes,2.9,86.1,4.3,6,53.0,91,True,A+
S00010,22.0,Male,Private,Diploma,Yes,No,5.6,58.7,6.1,3,59.0,74,True,A
S00011,17.0,Male,Public,BSc,Yes,No,4.6,82.8,6.5,5,79.0,77,True,A
S00012,22.0,Female,Public,Primary,Yes,No,0.7,44.4,6.3,6,20.0,21,False,F
S00013,24.0,Male,Public,None,No,No,3.5,41.7,6.7,9,59.0,58,True,C
S00014,17.0,Male,Private,None,Yes,No,2.2,70.8,7.7,4,60.0,68,True,B
S00015,20.0,Male,Public,Secondary,No,No,3.2,64.2,8.0,2,66.0,45,False,D
S00016,21.0,Male,Public,Diploma,Yes,Yes,2.8,46.2,6.7,6,40.0,39,False,F
S00017,18.0,Male,Public,Primary,Yes,No,3.9,73.2,5.5,8,56.0,72,True,A
S00018,16.0,Female,Private,BSc, Yes ,Yes,2.8,52.9,6.3,7,41.0,70,True,A
S00019,23.0,Male,Private,Primary,Yes,Yes,1.0,48.2,7.7,0,28.0,45,False,D
S00020,19.0,Female,Public,Primary,Yes,Yes,5.1,63.2,6.5,5,69.0,95,True,A+
S00021,22.0,Male,Private,MSc/PhD,Yes,No,1.8,89.3,8.6,5,48.0,48,False,D
S00022,21.0,Female,Public,,Yes,No,0.9,69.1,6.9,9,39.0,20,False,F
S00023,24.0,Male,Private,Primary,Yes,No,6.2,56.4,6.2,9,60.0,100,True,A+
S00024,22.0,Male,Private,BSc,Yes,No,1.1,74.6,6.4,3,39.0,42,False,D
S00025,23.0,Female,Private,Primary,Yes,No,3.3,70.4,6.8,2,36.0,48,False,D
S00026,20.0,Female,Public,Secondary,Yes,No,2.5,48.5,9.9,4,44.0,52,True,C
S00027,20.0,Male,Public,Diploma,No,No,0.6,88.9,7.3,2,26.0,44,False,D
S00028,19.0,Female,Private,Secondary,No,No,0.4,80.0,8.5,1,20.0,27,False,F
S00029,22.0,Female,Private,Secondary,No,Yes,0.8,44.2,8.0,2,34.0,21,False,F
S00030,23.0,Female,Private,Secondary,Yes,No,1.1,44.4,7.6,10,40.0,27,False,F
S00031,20.0,Male,Public,BSc,No,No,6.5,61.4,7.0,1,78.0,96,True,A+
S00032,19.0,Male,Private,Primary,No,Yes,3.4,73.5,8.1,9,57.0,76,True,A
S00033,17.0,Male,Private,Secondary,Yes,No,2.0,76.7,5.6,0,53.0,47,False,D
S00034,19.0,Female,Public,BSc,Yes,No,6.2,71.2,8.3,6,75.0,86,True,A+
S00035,23.0,Male,Private,BSc,Yes,Yes,1.1,68.8,7.7,0,49.0,42,False,D
S00036,23.0,Female,Public,Secondary,Yes,No,5.0,45.8,6.4,2,57.0,57,True,C
S00037,17.0,Male,Private,Diploma,Yes,Yes,2.4,64.1,7.1,2,,54,True,C
S00038,22.0,Male,Private,Secondary,Yes,No,1.7,58.4,8.3,1,49.0,38,False,F
S00039,24.0,Male,Public,Diploma,Yes,No,2.1,72.4,5.1,4,37.0,55,True,C
S00040,21.0,Female,Public,None,Yes,No,4.1,70.4,8.1,13,69.0,80,True,A+
S00041,24.0,Male,Public,BSc,Yes,No,6.3,39.5,7.1,6,66.0,78,True,A
S00042,24.0,Female,Public,Secondary,Yes,No,4.1,67.3,9.9,8,63.0,82,True,A+
S00043,20.0,Female,Public,,Yes,Yes,4.3,47.1,7.7,2,70.0,61,True,B
S00044,25.0,Male,Public,Primary,No,No,4.8,99.0,8.1,1,48.0,72,True,A
S00045,23.0,Female,Private,Primary,Yes,Yes,3.5,72.3,6.1,4,57.0,86,True,A+
S00046,25.0,Male,Public,BSc,Yes,No,2.2,72.4,8.3,0,49.0,30,False,F
S00047,25.0,Female,Public,MSc/PhD,No,No,4.4,68.5,7.1,4,44.0,61,True,B
S00048,25.0,Male,Private,Secondary,Yes,No,6.3,35.9,7.0,4,36.0,74,True,A
S00049,22.0,Female,Private,BSc,Yes,No,1.3,53.0,6.6,9,40.0,30,False,F
S00050,17.0,Female,Public,Secondary,No,No,2.9,93.3,6.1,0,64.0,72,True,A
S00051,21.0,Male,Private,Diploma,Yes,Yes,5.0,86.8,7.8,8,76.0,95,True,A+
S00052,25.0,Female,Public,Diploma,Yes,No,6.2,72.3,6.7,2,69.0,88,True,A+
S00053,23.0,Female,Public,MSc/PhD,Yes,Yes,5.9,78.8,6.6,6,84.0,100,True,A+
S00054,22.0,Male,Public,Primary,Yes,No,2.0,92.3,6.5,6,61.0,53,True,C
S00055,21.0,Male,Public,Diploma,No,Yes,5.0,94.7,9.2,3,81.0,100,True,A+
S00056,23.0,Male,Private,BSc,No,No,2.8,49.4,6.6,8,38.0,56,True,C
S00057,18.0,Male,Public,BSc,No,No,3.6,81.5,8.3,0,69.0,61,True,B
S00058,17.0,Male,Private,BSc,Yes,No,2.3,73.4,,7,53.0,51,True,C
S00059,23.0,Male,Public,None,Yes,No,1.9,75.4,8.5,0,48.0,47,False,D
S00060,22.0,Female,Private,MSc/PhD,Yes,Yes,6.3,57.6,7.3,3,67.0,82,True,A+
S00061,21.0,Male,Public,BSc,Yes,Yes,3.7,35.5,6.9,9,42.0,54,True,C
S00062,22.0,Female,Private,MSc/PhD,Yes,No,0.9,94.9,,4,54.0,40,False,D
S00063,25.0,Male,Public,Diploma,Yes,No,3.6,43.7,7.8,10,52.0,65,True,B
S00064,23.0,Female,Public,Secondary,Yes,Yes,6.5,65.2,7.2,6,81.0,100,True,A+
S00065,22.0,Female,Private,BSc,Yes,Yes,6.4,64.6,7.6,7,98.0,100,True,A+
S00066,22.0,Female,Private,BSc,Yes,Yes,6.1,38.2,7.4,7,58.0,90,True,A+
S00067,25.0,Female,Public,BSc,Yes,No,3.8,98.4,7.8,2,73.0,79,True,A
S00068,21.0,Male,Public,Secondary,Yes,Yes,5.6,58.0,7.5,5,81.0,91,True,A+
S00069,25.0,Male,Public,Secondary,Yes,No,0.9,41.8,6.7,4,20.0,31,False,F
S00070,23.0,Male,Private,BSc,Yes,No,0.6,45.5,7.0,9,20.0,18,False,F
S00071,22.0,Male,Public,None,Yes,Yes,3.8,56.3,7.6,6,35.0,64,True,B
S00072,17.0,Female,Private,BSc,Yes,No,0.9,82.8,6.6,2,39.0,46,False,D
S00073,21.0,Female,Private,BSc,Yes,No,5.5,52.9,7.7,6,80.0,76,True,A
S00074,20.0,Female,Public,Diploma,Yes,No,4.0,42.7,7.1,4,31.0,50,True,C
S00075,24.0,Female,Public,BSc,No,No,1.7,91.6,6.0,0,46.0,53,True,C
S00076,21.0,Male,Public,Primary, Yes ,No,4.0,46.3,9.5,10,45.0,61,True,B
S00077,24.0,Female,Private,Primary,Yes,No,5.7,98.3,6.8,7,91.0,100,True,A+
S00078,19.0,Female,Public,Secondary,Yes,Yes,5.4,41.3,7.7,9,78.0,84,True,A+
S00079,24.0,Female,Public,Primary,Yes,No,3.0,39.2,6.4,9,34.0,48,False,D
S00080,25.0,Female,Public,Primary,Yes,No,1.7,50.3,9.7,0,36.0,40,False,D
S00081,25.0,Female,Private,None,Yes,Yes,1.2,73.3,6.0,8,41.0,47,False,D
S00082,20.0,Male,Public,Secondary,Yes,No,1.7,44.0,4.4,10,20.0,30,False,F
S00083,20.0,Male,Public,Diploma,No,No,6.0,89.1,6.1,7,88.0,95,True,A+
S00084,18.0,Male,Public,Diploma,No,No,5.4,48.0,7.1,9,69.0,74,True,A
S00085,23.0,Female,Private,BSc,Yes,No,4.6,52.8,6.3,3,64.0,59,True,C
S00086,20.0,Male,Public,Diploma,Yes,No,4.5,59.1,7.8,8,68.0,85,True,A+
S00087,21.0,Male,Private,Secondary,Yes,No,0.8,92.5,7.1,3,20.0,47,False,D
S00088,23.0,Male,Public,Secondary,Yes,No,0.4,88.1,7.0,4,20.0,43,False,D
S00089,24.0,Male,Public,MSc/PhD,Yes,No,1.6,46.2,5.1,1,27.0,28,False,F
S00090,24.0,Female,Private,Secondary,yes,Yes,2.1,59.2,7.2,2,44.0,54,True,C
S00091,20.0,Female,Public,Secondary,No,No,3.6,,6.8,6,38.0,45,False,D
S00092,17.0,Female,Public,Diploma,Yes,Yes,4.4,96.2,6.1,1,65.0,82,True,A+
S00093,21.0,Male,Private,Diploma,Yes,No,5.8,36.6,8.2,4,70.0,64,True,B
S00094,18.0,Female,Private,BSc,Yes,No,5.8,77.6,4.7,8,81.0,80,True,A+
S00095,17.0,Male,Public,Primary,Yes,No,1.2,81.5,7.7,9,31.0,65,True,B
S00096,24.0,Male,Public,Diploma,Yes,Yes,3.4,99.7,6.2,1,79.0,73,True,A
S00097,19.0,Male,Public,Secondary,Yes,No,3.2,80.5,5.5,10,56.0,69,True,B
S00098,20.0,Female,Public,Primary,Yes,No,1.9,86.2,7.2,7,45.0,61,True,B
S00099,19.0,Male,Public,Secondary,yes,Yes,6.3,82.3,6.8,0,82.0,100,True,A+
S00100,21.0,Male,Public,Secondary,Yes,No,1.7,78.1,8.6,10,50.0,42,False,D
S00101,23.0,Male,Public,BSc,Yes,No,2.8,52.2,4.9,12,43.0,66,True,B
S00102,22.0,Male,Public,Diploma,Yes,No,4.6,65.5,6.3,0,60.0,85,True,A+
S00103,18.0,Male,Public,Secondary,Yes,No,3.1,98.5,6.1,8,71.0,66,True,B
S00104,17.0,Male,Public,BSc, Yes ,Yes,3.1,88.6,7.9,10,61.0,73,True,A
S00105,21.0,Male,Private,Secondary,Yes,No,2.5,52.3,7.4,0,36.0,51,True,C
S00106,24.0,Male,Public,Diploma,Yes,No,,42.0,9.0,4,55.0,70,True,A
S00107,19.0,Female,Public,BSc,Yes,No,3.8,54.1,8.7,1,35.0,73,True,A
S00108,20.0,Female,Private,None,Yes,No,5.7,68.8,6.3,1,97.0,73,True,A
S00109,17.0,Male,Public,Diploma,Yes,No,5.8,55.7,4.9,1,58.0,100,True,A+
S00110,19.0,Male,Public,Secondary,Yes,Yes,3.3,63.9,6.2,9,50.0,70,True,A
S00111,19.0,Male,Public,Primary,Yes,No,3.1,99.6,6.0,10,65.0,71,True,A
S00112,23.0,Female,Public,Secondary,Yes,No,1.9,,6.7,10,27.0,62,True,B
S00113,23.0,Male,Private,BSc,Yes,Yes,,84.2,4.1,10,100.0,100,True,A+
S00114,18.0,Male,Public,BSc,Yes,No,6.1,50.0,7.1,2,75.0,64,True,B
S00115,20.0,Female,Private,Diploma,No,No,3.5,57.9,7.7,10,69.0,63,True,B
S00116,17.0,Male,Public,MSc/PhD,Yes,Yes,0.4,62.6,7.1,6,25.0,42,False,D
S00117,24.0,Male,Private,Secondary,Yes,No,2.6,73.6,8.1,8,35.0,70,True,A
S00118,22.0,Male,Public,Diploma,Yes,No,0.5,66.9,5.2,2,37.0,23,False,F
S00119,24.0,Male,Public,Primary,Yes,Yes,0.7,49.5,6.4,0,20.0,39,False,F
S00120,22.0,Male,Private,Secondary,Yes,No,4.0,56.8,7.4,5,61.0,76,True,A
S00121,24.0,Female,Public,Secondary,Yes,Yes,1.2,85.4,7.2,7,58.0,55,True,C
S00122,22.0,Female,Private,BSc,No,Yes,4.8,36.3,7.2,8,55.0,77,True,A
S00123,25.0,Male,Public,Secondary,Yes,No,5.9,43.3,4.8,1,80.0,62,True,B
S00124,22.0,Male,Public,Primary,Yes,Yes,3.4,90.7,5.5,4,62.0,62,True,B
S00125,19.0,Female,Public,Secondary,Yes,Yes,3.0,41.2,7.9,9,45.0,56,True,C
S00126,23.0,Male,Public,Secondary,Yes,No,3.6,73.8,7.2,0,65.0,65,True,B
S00127,22.0,Male,Public,Diploma,Yes,No,2.2,85.9,,5,57.0,55,True,C
S00128,19.0,Male,Private,Primary,Yes,No,6.3,96.1,7.4,0,87.0,100,True,A+
S00129,24.0,Male,Public,,Yes,No,2.6,87.4,6.0,0,56.0,55,True,C
S00130,24.0,Female,Public,Secondary,Yes,Yes,3.9,80.3,7.3,9,63.0,91,True,A+
S00131,20.0,Male,Public,MSc/PhD,Yes,No,1.1,79.3,8.1,4,32.0,52,True,C
S00132,25.0,Female,Public,Secondary,Yes,Yes,5.1,75.9,8.5,5,81.0,94,True,A+
S00133,23.0,Male,Public,MSc/PhD,No,No,0.6,42.2,6.7,6,20.0,17,False,F
S00134,23.0,Male,Public,Secondary,Yes,No,6.4,99.7,7.7,9,76.0,100,True,A+
S00135,23.0,Male,Private,Secondary,No,No,,66.7,5.1,6,71.0,68,True,B
S00136,21.0,Female,Public,MSc/PhD,Yes,No,5.9,67.7,,9,75.0,85,True,A+
S00137,17.0,Female,Public,,Yes,No,4.6,73.9,6.5,1,71.0,73,True,A
S00138,21.0,Male,Public,None,Yes,No,1.0,84.9,,9,,52,True,C
S00139,22.0,Male,Private,Primary,No,No,5.5,38.7,5.8,7,59.0,51,True,C
S00140,22.0,Female,Public,BSc,No,Yes,1.8,45.1,6.2,10,36.0,41,False,D
S00141,19.0,Male,Public,Secondary,Yes,Yes,5.5,74.4,7.7,10,75.0,97,True,A+
S00142,23.0,Male,Private,Secondary,No,No,1.2,39.5,6.7,1,,28,False,F
S00143,19.0,Female,Private,BSc,Yes,No,2.0,35.5,8.3,7,20.0,41,False,D
S00144,19.0,Male,Public,Secondary,Yes,No,5.3,43.0,7.4,5,52.0,75,True,A
S00145,25.0,Female,Public,Diploma,No,Yes,5.3,53.6,6.5,9,82.0,80,True,A+
S00146,18.0,Female,Public,Secondary, Yes ,No,6.5,55.5,,10,58.0,100,True,A+
S00147,22.0,Male,Public,Secondary,Yes,No,1.3,82.9,7.1,9,60.0,43,False,D
S00148,18.0,Male,Public,Diploma,Yes,No,5.4,88.6,7.5,8,58.0,86,True,A+
S00149,20.0,Female,Public,Secondary,Yes,No,,98.8,8.1,9,,64,True,B
S00150,18.0,Male,Public,BSc,Yes,Yes,0.4,52.9,8.0,5,34.0,35,False,F
S00151,23.0,Male,Private,Primary,Yes,No,5.4,35.2,7.4,9,66.0,84,True,A+
S00152,25.0,Male,Public,Primary,Yes,Yes,6.5,38.6,6.3,2,72.0,87,True,A+
S00153,22.0,Male,Private,BSc,Yes,No,,56.6,6.0,0,64.0,60,True,B
S00154,17.0,Male,Public,Secondary,No,No,4.3,37.8,5.4,8,30.0,55,True,C
S00155,23.0,Female,Public,Secondary,No,No,4.5,47.4,7.1,1,43.0,59,True,C
S00156,19.0,Female,Public,Secondary,Yes,No,1.2,59.7,9.4,7,32.0,53,True,C
S00157,25.0,Male,Public,Secondary, Yes ,No,3.2,,7.3,9,57.0,71,True,A
S00158,19.0,Male,Public,Diploma,Yes,Yes,1.5,98.5,5.9,7,70.0,63,True,B
S00159,18.0,Male,Public,None,Yes,Yes,3.9,83.5,7.1,8,70.0,80,True,A+
S00160,19.0,Male,Public,Secondary,Yes,No,3.1,71.9,5.0,3,54.0,48,False,D
S00161,24.0,Male,Public,Secondary,Yes,No,2.2,39.8,9.2,5,30.0,50,True,C
S00162,18.0,Female,Public,Diploma,Yes,Yes,1.1,47.3,5.4,6,35.0,46,False,D
S00163,23.0,Male,Public,Secondary,Yes,No,4.1,92.8,6.1,2,88.0,66,True,B
S00164,22.0,Female,Public,Primary,Yes,No,5.8,82.5,6.0,3,100.0,100,True,A+
S00165,17.0,Male,Public,Diploma,No,No,6.2,76.3,6.0,1,94.0,93,True,A+
S00166,24.0,Male,Private,MSc/PhD,Yes,No,5.5,53.6,10.0,3,69.0,91,True,A+
S00167,18.0,Male,Public,Primary,Yes,No,4.5,48.2,7.4,8,59.0,52,True,C
S00168,19.0,Female,Public,BSc,Yes,Yes,5.1,63.6,6.4,7,74.0,82,True,A+
S00169,21.0,Female,Public,MSc/PhD,No,No,,85.7,5.2,0,61.0,85,True,A+
S00170,19.0,Female,Public,None,Yes,No,4.4,,5.2,9,71.0,94,True,A+
S00171,24.0,Male,Public,Secondary,Yes,No,0.3,63.0,6.3,6,38.0,34,False,F
S00172,20.0,Female,Public,Secondary,Yes,No,4.1,54.3,4.8,6,70.0,75,True,A
S00173,25.0,Female,Public,Diploma,Yes,Yes,3.8,42.7,7.8,0,33.0,56,True,C
S00174,25.0,Male,Public,BSc,Yes,No,3.9,85.7,8.5,0,45.0,59,True,C
S00175,20.0,Male,Public,Primary,No,Yes,1.2,93.1,8.6,3,43.0,47,False,D
S00176,18.0,Male,Public,BSc,Yes,Yes,0.9,98.4,8.3,2,46.0,65,True,B
S00177,20.0,Male,Public,Primary,Yes,No,5.7,61.3,7.2,2,81.0,90,True,A+
S00178,25.0,Male,Public,Diploma,Yes,No,2.1,57.4,6.4,2,32.0,32,False,F
S00179,19.0,Male,Public,BSc,Yes,No,2.6,44.4,8.1,9,40.0,47,False,D
S00180,23.0,Male,Private,,Yes,No,4.7,44.0,6.6,0,60.0,68,True,B
S00181,21.0,Male,Private,MSc/PhD,Yes,Yes,4.2,39.5,5.2,2,53.0,63,True,B
S00182,17.0,Female,Private,MSc/PhD,Yes,Yes,4.0,49.9,7.7,11,53.0,76,True,A
S00183,24.0,Male,Public,Diploma,Yes,Yes,,63.4,7.2,5,46.0,64,True,B
S00184,23.0,Female,Public,MSc/PhD,Yes,No,5.9,88.2,6.5,1,76.0,93,True,A+
S00185,18.0,Male,Public,Diploma,Yes,Yes,5.7,49.4,8.1,6,78.0,81,True,A+
S00186,25.0,Male,Public,Secondary,No,Yes,3.6,41.3,5.9,1,47.0,59,True,C
S00187,23.0,Female,Private,Secondary,yes,No,3.4,69.7,5.4,9,56.0,78,True,A
S00188,24.0,Female,Public,MSc/PhD,No,Yes,6.0,89.0,7.7,1,95.0,100,True,A+
S00189,17.0,Male,Private,Primary,No,Yes,2.1,97.5,8.3,8,64.0,72,True,A
S00190,24.0,Male,Public,Primary,Yes,Yes,1.1,82.8,9.5,2,33.0,52,True,C
S00191,22.0,Male,Private,BSc,No,No,3.8,75.0,8.3,0,66.0,74,True,A
S00192,18.0,Female,Public,MSc/PhD,Yes,No,5.2,47.3,7.1,5,59.0,66,True,B
S00193,25.0,Female,Public,None,Yes,Yes,4.7,83.5,10.0,0,78.0,100,True,A+
S00194,20.0,Male,Public,None,Yes,Yes,2.4,98.3,5.5,8,53.0,85,True,A+
S00195,20.0,Female,Public,BSc,Yes,Yes,2.6,88.4,9.4,4,54.0,68,True,B
S00196,22.0,Female,Public,MSc/PhD,Yes,No,,78.7,7.8,0,22.0,30,False,F
S00197,24.0,Female,Public,Secondary,Yes,Yes,0.7,64.2,7.9,14,51.0,49,False,D
S00198,21.0,Female,Public,Secondary,Yes,No,3.7,63.8,,9,32.0,56,True,C
S00199,17.0,Male,Private,BSc,No,No,4.7,69.9,7.5,9,63.0,75,True,A
S00200,23.0,Male,Private,Primary, Yes ,No,2.0,50.2,5.1,3,35.0,40,False,D
S00201,19.0,Male,Public,BSc,Yes,No,6.0,41.4,6.5,7,60.0,87,True,A+
S00202,24.0,Male,Public,BSc,Yes,No,0.3,92.7,7.5,6,42.0,34,False,F
S00203,20.0,Female,Private,Diploma,Yes,No,4.2,39.4,5.8,4,59.0,50,True,C
S00204,18.0,Male,Public,Diploma,No,No,0.3,50.9,7.5,1,34.0,19,False,F
S00205,20.0,Male,Public,Primary,No,No,5.2,56.5,6.8,5,54.0,80,True,A+
S00206,23.0,Female,Public,Primary,No,No,1.9,88.8,9.4,2,37.0,55,True,C
S00207,24.0,Male,Public,BSc,yes,No,4.0,60.6,6.1,8,57.0,62,True,B
S00208,18.0,Male,Public,MSc/PhD,Yes,No,4.7,41.9,5.1,0,57.0,55,True,C
S00209,18.0,Male,Public,None,Yes,No,2.4,43.4,7.4,2,46.0,48,False,D
S00210,19.0,Male,Public,BSc,Yes,No,3.7,97.4,7.5,5,,72,True,A
S00211,22.0,Male,Public,Primary,Yes,No,2.5,46.4,8.2,7,,49,False,D
S00212,21.0,Male,Public,Secondary,No,No,2.2,78.4,5.2,7,49.0,38,False,F
S00213,25.0,Male,Private,Secondary, Yes ,No,3.8,91.0,5.4,6,73.0,87,True,A+
S00214,22.0,Female,Private,Diploma,No,Yes,1.2,66.0,3.9,2,61.0,41,False,D
S00215,23.0,Male,Public,Secondary,Yes,No,5.2,59.0,7.4,10,93.0,77,True,A
S00216,25.0,Female,Private,Primary,Yes,No,6.4,65.5,5.0,9,72.0,91,True,A+
S00217,17.0,Male,Private,Secondary,Yes,No,4.2,87.3,5.4,13,85.0,89,True,A+
S00218,25.0,Male,Private,Primary,No,No,3.3,77.2,7.9,6,52.0,78,True,A
S00219,17.0,Female,Public,Diploma,No,Yes,2.7,61.1,5.3,8,50.0,48,False,D
S00220,23.0,Female,Public,Diploma,Yes,No,2.1,68.2,6.6,3,41.0,66,True,B
S00221,22.0,Male,Private,Secondary,Yes,Yes,,74.4,5.0,2,72.0,73,True,A
S00222,17.0,Male,Public,Diploma,Yes,No,3.7,76.8,7.0,1,49.0,80,True,A+
S00223,19.0,Female,Private,Primary,Yes,Yes,2.5,79.4,5.8,7,63.0,84,True,A+
S00224,24.0,Female,Public,None,Yes,No,2.4,75.2,7.7,3,36.0,54,True,C
S00225,25.0,Female,Private,Primary,Yes,Yes,5.7,55.7,6.2,10,86.0,80,True,A+
S00226,20.0,Female,Public,BSc,Yes,Yes,0.7,48.7,6.1,4,27.0,22,False,F
S00227,23.0,Female,Public,Secondary,Yes,Yes,4.3,43.8,8.0,7,75.0,72,True,A
S00228,22.0,Male,Private,BSc,No,Yes,3.1,98.3,6.8,8,73.0,85,True,A+
S00229,24.0,Female,Private,MSc/PhD,Yes,No,6.5,65.2,7.9,6,68.0,94,True,A+
S00230,20.0,Female,Private,None,Yes,No,6.3,75.4,7.5,8,81.0,100,True,A+
S00231,23.0,Male,Private,Secondary,Yes,No,0.9,46.1,6.6,6,24.0,15,False,F
S00232,17.0,Female,Public,MSc/PhD,No,No,1.3,83.1,8.3,6,44.0,53,True,C
S00233,20.0,Male,Public,Diploma,Yes,Yes,0.9,87.9,8.2,0,57.0,47,False,D
S00234,20.0,Female,Private,Secondary,Yes,No,1.6,38.2,7.5,10,27.0,15,False,F
S00235,20.0,Male,Private,Secondary,Yes,No,2.3,54.4,4.7,4,44.0,45,False,D
S00236,18.0,Male,Public,Primary,No,Yes,5.9,58.0,7.7,5,91.0,84,True,A+
S00237,19.0,Male,Private,BSc,Yes,No,2.5,38.8,7.3,10,26.0,39,False,F
S00238,22.0,Female,Public,Secondary,Yes,Yes,1.9,51.7,6.5,6,46.0,31,False,F
